Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
148.329762452,-0.148869708180428,-3.13190221786499,-0.590715169906616,,,,,,,
148.334686827,-0.244365468621254,-3.42727184295654,-0.599329710006714,,,,,,,
148.339610317,-0.31167608499527,-3.67216873168945,-0.605139493942261,,,,,,,
148.344533077,-0.372381895780563,-3.89546871185303,-0.648480176925659,,,,,,,
148.349456567,-0.311628401279449,-4.07093286514282,-0.772248029708862,,,,,,,
148.354380942,-0.241918563842773,-4.18185043334961,-0.947760581970215,,,,,,,
148.359304431,-0.199165523052216,-4.34070587158203,-1.07208228111267,,,,,,,
148.364227192,-0.144978642463684,-4.40388011932373,-1.26748263835907,,,,,,,
148.369150681,-0.117602199316025,-4.47186136245728,-1.54598689079285,,,,,,,
148.374075108,-0.0908013880252838,-4.53267192840576,-1.74973297119141,,,,,,,
148.378998546,-0.160280331969261,-4.62945938110352,-1.88812041282654,,,,,,,
148.383921306,-0.216076150536537,-4.68337488174439,-1.96097946166992,,,,,,,
148.388844796,-0.387449264526367,-4.72792625427246,-2.10952687263489,,,,,,,
148.393769223,-0.348824799060822,-4.65550518035889,-2.22851538658142,,,,,,,
148.398692661,-0.444709777832031,-4.69584321975708,-2.33939504623413,,,,,,,
148.403615421,-0.588915646076202,-4.75305700302124,-2.52852034568787,,,,,,,
148.408538963,-0.544423282146454,-4.62150716781616,-2.64989256858826,,,,,,,
148.413463338,-0.375892072916031,-4.35893106460571,-2.58612823486328,,,,,,,
148.418386775,-0.408870130777359,-4.17125225067139,-2.48061728477478,,,,,,,
148.423309536,-0.463972628116608,-3.94133615493774,-2.33071327209473,,,,,,,
148.428233025,-0.347396850585938,-3.65500974655151,-2.26767492294312,,,,,,,
148.433157452,-0.229374587535858,-3.41041994094849,-2.33433389663696,,,,,,,
148.438080942,-0.172073781490326,-3.15245723724365,-2.40873670578003,,,,,,,
148.44300365,-0.0604129210114479,-2.86196565628052,-2.3140344619751,,,,,,,
148.447927192,0.00743641518056393,-2.6896014213562,-2.28720855712891,,,,,,,
148.452851567,-0.0019191661849618,-2.55379438400269,-2.23044610023499,,,,,,,
148.457775004,0.0290100462734699,-2.29663848876953,-2.10802149772644,,,,,,,
148.462697765,0.0643960610032082,-2.025803565979,-1.96326231956482,,,,,,,
148.467621306,0.0541168004274368,-1.81769895553589,-1.91844856739044,,,,,,,
148.472545681,-0.102403521537781,-1.6147575378418,-1.92110669612885,,,,,,,
148.477469119,-0.184956312179565,-1.33328104019165,-1.81336808204651,,,,,,,
148.482391879,-0.104774788022041,-1.01154565811157,-1.67208993434906,,,,,,,
148.487315421,0.152693301439285,-0.697451114654541,-1.56420910358429,,,,,,,
148.492239796,0.25937807559967,-0.395730972290039,-1.56868410110474,,,,,,,
148.497163286,-0.00979530811309815,-0.156401634216309,-1.60454106330872,,,,,,,
148.502085994,-0.274129986763001,0.00872325897216797,-1.50930559635162,,,,,,,
148.507009536,-0.267870604991913,0.279021263122559,-1.33086323738098,,,,,,,
148.511933911,-0.151464730501175,0.573039054870606,-1.22946035861969,,,,,,,
148.5168574,-0.0778695344924927,0.857316970825195,-1.22188460826874,,,,,,,
148.521780108,0.0320431888103485,1.07942867279053,-1.26543581485748,,,,,,,
148.52670365,0.0848948955535889,1.2753734588623,-1.12348628044128,,,,,,,
148.531628025,-0.0798317193984985,1.37340259552002,-0.87263298034668,,,,,,,
148.536551515,-0.244429707527161,1.39267349243164,-0.562975883483887,,,,,,,
